Auteur,Code catégorie,Descriptif,Somme de Nbre de pages,Somme de Numéro livre,Somme de Prix catalogue,Titre
,AR,"",320,182,"24,0869 €",Mythologies du monde entier
,AR,A la rencontre des hommes et des civilisations.,1664,183,"37,8074 €",Les pays et leurs peuples
,AR,De la préhistoire à nos jours.,320,185,"25,6114 €",Les grandes tragédies
,AR,La mémoire collective du siècle.,424,181,"24,0869 €",Notre siècle en images
,CU,Le plus complet des livres de cuisine.,656,228,"23,782 €",La bonne cuisine d'aujourd'hui
,DI,Définir et expliquer les concepts de la psychanalyse.,320,275,"12,1959 €",Dictionnaire de la psychanalyse
,DI,"Français classique moderne, actuel.",1600,280,"23,782 €",Le Robert illustré d'aujourd'hui en couleur
,DI,Initiation simple et efficace au vocabulaire.,288,276,"11,5861 €",Dictionnaire de la sociologie
,DI,La 3ème langue la plus parlée au monde !,1938,279,"20,4282 €",Dictionnaire Hispano Bordas (espagnol)
,DI,L'anglais tel qu'on le parle.,1060,277,"16,7694 €",Dictionnaire Harrap's compact (Anglais)
,DI,Pour répondre aux  besoins réels des usagers du français.,800,281,"17,6841 €",Dictionnaire de l'orthorgraphe
,DI,Pour savoir jongler avec les mots.,1032,270,"12,1959 €",Dictionnaire des jeux et des lettres
,DI,Près de 100000 mots pour comprendre l'allemand.,1254,278,"16,7694 €",Dictionnaire Haarap's compact (allemand)
,DI,Un guide complet pour une bonne préparation.,768,283,"18,2939 €",Les concours administratifs
,DI,Une méthode simple et claire pour maîtriser la langue.,784,282,"19,5135 €",Bescherelle
,EV,Le meilleur guide de la route.,370,190,"23,1723 €",Atlas des routes de France
,EV,Pays des vins et des princes.,360,206,"20,7331 €",Vallée de la Loire
,EV,Sites et modes de vie d'un pays de lumière.,408,207,"20,7331 €",Provence
,EV,Une terre légendaire à la proue de la France.,456,205,"20,7331 €",Bretagne
,HI,De la préhistoire à nos jours.,256,175,"27,4408 €",Atlas de l'Histoire de France
,HI,Les 150 affaires et procès les plus célèbres.,320,173,"25,6114 €",Les grands procès
,LI,"Histoires réelles ou imaginaires, souvenirs du temps passé ou compositions fantaisistes.",368,75,"12,5008 €",Histoires de nos villages
,LO,"Un enseignement complet, commenté point par point.",256,253,"22,5625 €",Le grand livre des travaux d'aiguilles
,LO,Un guide complet pour tous les types de pêche.,288,209,"22,5625 €",La pêche en douce et en mer
,SA,Le guide médical le plus vendu au monde.,728,220,"23,782 €",Les remèdes maison des médecins
,VP,L'inventaire critique des nouveaux produits et services.,480,243,"9,6043 €",Guide des nouveautés qui nous changent la vie
,VP,Nouvelle cartographie de la Terre.,400,246,"19,5135 €",Atlas mondial
,VP,Pour tous les travaux d'intérieur.,288,257,"22,5625 €",Le grand livre du bricolage et de la décoration
Alizon,TE,Un adolescence à Auschwitz.,384,166,"15,7632 €",L'exercice de vivre.
allende,TE,Un beau chant de la mémoire pour conjurer la mort.,464,160,"15,931 €",Paula
andrews,LI,"",392,90,"13,7204 €",Bouquet d'épines
andrews,LI,"",378,88,"13,7204 €",Fleurs captives
andrews,LI,"",350,87,"13,7204 €",Le jardin des ombres
andrews,LI,"",432,92,"13,2631 €",L'enfant du crépuscule
andrews,LI,"",434,93,"13,2631 €",Les démons de la nuit
andrews,LI,"",392,91,"13,2631 €",Les secrets de l'aube
andrews,LI,"",448,89,"13,7204 €",Pétales au vent
anglade,LI,Un amour de gosses sous l'Occupation.,368,71,"13,4155 €",La soupe à la fourchette
armand,LI,Partagée entre l'amour et le désir d'enseigner.,336,68,"14,3302 €",La maîtresse d'école
arnaud,LI,Le combat d'une femme médecin.,304,106,"13,7204 €",Le secret du docteur Guillard
aymé,LI,Un merveilleux génie inventif.,420,24,"13,7204 €",Le passe-muraille et autres nouvelles
baldacci,SU,Un homme à abattre pour voyeurisme.,432,119,"17,0743 €",Le pouvoir d'exécutera
barassi,VP,Tout l'art de la composition florale.,254,261,"19,5135 €",Guide vert : fleurs et bouquets
barnard,VP,Des centaines de projets à réaliser vous-même !,288,256,"23,9345 €",Le grand livre de la décoration
beauchemin,LI,"La quarantaine, l'âge de toutes les folies.",480,55,"16,4645 €",Le second violon
bellicha,SA,Par ordre alphabétique.,480,219,"24,2394 €",Grand dictionnaire médical pour toute la famille
benker,LI,Drame poignant autour d'une adoption.,448,101,"14,0253 €",Cet enfant est le nôtre
benzoni,HI,Pour l'amour d'une pierre précieuse et d'une femme.,480,43,"15,5498 €",La rose d'York
benzoni,HI,Un fabuleux bijou conduit-il à l'amour?,432,44,"15,0925 €",L'opale de Sissi
benzoni,HI,Une folle poursuite d'amour et d'aventure.,368,42,"15,0925 €",L'étoile bleue
Bertaud du chazaud,DI,Trouver le mot juste.,740,272,"11,2812 €",Dictionnaire des synonymes
boissard,LI,Les déchirements d'une femme chirurgien.,496,102,"14,0253 €",Une femme en blanc
bradford,LI,La fatale revanche du passé.,336,100,"14,94 €",Passions dangereuses
bruel,LI,Le bonheur à l'état sauvage.,272,72,"13,4155 €",La colline des contre-bandiers
burdett,SU,Un dangereux ménage à trois.,368,123,"13,4155 €",La nuit des voleurs
carmus,AD,"Les professionnels du ""paranormal"".",368,294,"16,7694 €",Voyage au pays du magique
castillo,TE,Comment un enfant martyr devient un écrivain.,392,162,"17,4402 €",Mon frère l'idiot
cauley,LI,Les fantasques aventures d'une amitié insolite.,384,53,"13,4155 €",Au paradis des amours enfantines
chalon,SU,Folie meurtrière en montagne.,384,113,"14,0253 €",L'arène blanche
chalon,TE,"L'étonnant destin de ""la fiancé de Jésus"".",300,164,"17,1048 €",Thérèse de Lisieux
chandernagor,HI,L'amour vengeur d'une aristocrate bafouée.,512,48,"16,4645 €",L'enfant des lumières
charretton,CU,"",268,227,"22,5625 €",Un million de menus minceur
clancier,LI,"L'envoûtement d'un village, otage de son passé.",320,26,"8,3847 €",Une ombre sarrasine
coelho,LI,La quête initiative d'un trésor.,252,28,"11,5861 €",L'alchimiste
coelho,TE,Quête spirituelle sur une route légendaire.,378,161,"14,4217 €",Le pèlerin de Compostelle
cornaille,LI,Le destin mouvementé d'une femme de la terre.,348,67,"13,4155 €",Les terres abandonnées
couderc,TE,A l'heure des premières amours.,416,163,"14,254 €",Le petit
cross,HI,Une femme sur le trône de saint Pierre.,608,52,"13,7204 €",La papesse Jeanne
crozes,LI,Une force d'amour au cœur d'une épopée paysanne.,384,70,"15,0925 €",Le pain blanc
decaux,HI,Des événements-clés dans la mémoire du siècle.,496,174,"14,94 €",C'était le XXème siècle
deforges,HI,Une ardente amoureuse dans l'imbroglio indochinoise.,480,51,"14,6351 €",La dernière colline
denuzière,HI,Une prospère dynastie de vignerons et négociants en vins.,704,45,"18,1414 €",Romandie
desroches noblecourt,HI,Soixante ans de passion au service d'un pharaon.,432,179,"16,4645 €",Ramsès II
diwo,HI,Une maîtresse femme dans la Rome des Césars.,464,46,"17,6841 €",Les dîners de Calpurnia
dorin,LI,Enfant à charge pour couple trop libre.,320,58,"14,94 €",La mouflette
druon,HI,La célèbre fresque historique en un seul volume.,1620,49,"18,2939 €",Les Rois maudits
dupuet,LO,"",320,208,"20,4282 €",Les oiseaux  d'Europe dans leurs milieux
Duquesne,LI,La folle cavale de deux gamins de la Libération.,414,54,"14,94 €",Théo et Marie
eco,LI,Un époustouflant roman d'aventures philosophique.,464,29,"17,5316 €",Lîle du jour d'avant
evans,LI,Le secret des mots qui guérissent...,432,56,"14,6351 €",L'homme qui murmurait à l'oreille des chevaux
fielding,SU,Menaces sur une femme trop gênante.,352,112,"14,94 €",Ne pleure pas
folco,HI,"La cocasse épopée d'un 'meneur-garou"".",576,47,"15,8547 €",Un loup est un loup
fondin,VP,Un livre précis qui répond à toutes les questions.,320,239,"12,1959 €",Le nouveau manuel de l'automobiliste
gaarder,LI,Au pays des philosophes.,584,5,"16,9218 €",Le monde de Sophie
gagnière,DI,Plus de 3000 mots du meilleur esprit.,460,274,"14,4827 €","""Entre guillements"""
gallo,LI,"",320,34,"14,3302 €",La part de Dieu
gautier,VP,"Constituez ""l'arbre"" de votre famille.",480,242,"18,1414 €",ABC de généalogie
gilstrap,SU,La traque d'un criminel de 12 ans.,384,14,"14,6351 €",Nathan
giono,LI,Chants d'amour et passions fatales.,512,66,"14,6351 €",Le chant du monde
giono,LI,Des passions extrêmes.,528,64,"14,6351 €",Les âmes fortes
giono,LI,Errances et fatalités dangereuses.,384,65,"14,3302 €",Les grands chemins
giono,LI,Férocité de l'amour,368,62,"13,7204 €",L'iris de Suse
giono,LI,Une enfance provençale.,314,63,"13,7204 €",Jean le Bleu
giono,LI,Une folle équipée sous menace de mort.,512,61,"14,94 €",Le hussard sur le toit
goudge,LI,Femmes en mal de maternité.,544,97,"14,4827 €",L'heure des secrets
grandes,LI,Une flamboyante et intrépide Espagnole.,518,12,"16,1596 €",Malena c'est un nom de tango
grisham,SU,Crime justifié contre haine raciale?,720,117,"15,2449 €",Non coupable
grisham,SU,L'enfant qui en savait trop...,592,118,"14,94 €",Le client
grousset,HI,La fascinante épopée d'un empire.,368,172,"16,7694 €",Histoire de la Chine
guterson,LI,Un amour pas comme les autres.,528,25,"14,3302 €",La neige tombait sur les cèdres
hamel,TE,Le calvaire d'un esclavage conjugal.,320,155,"15,4278 €",La chinoise verte
harris,LI,Une vie réinventée dans le Grand Nord.,320,27,"14,0253 €",L'enfer blanc
higgins clark,SU,"""Renard"" : la signature de l'assassin.",288,131,"11,5861 €",La nuit du renard
higgins clark,SU,Crime passionnel ou folie meurtrière?,352,126,"14,6351 €",Nous n'irons plus au bois
higgins clark,SU,Crimes et passions à l'ombre de la Maison Blanche.,352,134,"10,8239 €",Le démon du passé
higgins clark,SU,Danse macabre.,352,127,"11,5861 €",Recherche jeune femme aimant danser
higgins clark,SU,Diagnostic pour la mort.,336,128,"11,891 €",La clinique du docteur H.
higgins clark,SU,Enquête sur une mort suspecte.,352,133,"10,8239 €",Ne pleure pas ma belle
higgins clark,SU,La maison des grandes terreurs.,352,129,"11,891 €",Un cri dans la nuit
higgins clark,SU,La ressemblance était trop parfaite...,352,125,"14,6351 €",Un jour tu verras...
higgins clark,SU,Mystère et terreur à domicile...,400,124,"15,2449 €",Souviens-toi
higgins clark,SU,Puzzle mortel autour d'une femme trop curieuse.,384,136,"14,3302 €",La maison du clair de lune
higgins clark,SU,Troublantes sosies,288,130,"15,0925 €",Ce que vivent les roses.
higgins clark,SU,Un meurtre cousu main dans le monde de la mode.,304,132,"11,891 €",Dors ma jolie
hoeg,LI,Une révélation du Nord.,464,6,"16,4645 €",Smilla et l'amour de la neige
hugo,LI,Le drame d'un aristocrate défiguré.,800,83,"17,0743 €",L'homme qui rit
hugo,LI,Les prodigues d'un bagnard.,1024,80,"19,0561 €",Les Misérables (tome 1)
hugo,LI,Les sacrifices d'un marin au grand cœur.,624,82,"16,4645 €",Les travailleurs de la mer
hugo,LI,Sous la colère d'un peuple révolté...,1040,81,"19,0561 €",Les Misérables (tome 2)
hugo,LI,Un démon humain assoiffé de vengeance.,528,78,"15,2449 €",Han d'Islande
hugo,LI,"Un flamboyant roman ""gothique"".",672,79,"16,1596 €",Notre-Dame de Paris
jacq,HI,Initiation d'un future pharaon.,432,19,"15,2449 €",Le fils de la lumière
jacq,HI,Quand l'homme de Dieu Défie Pharaon.,400,18,"15,2449 €",La Dame d'Abou Simbel
jacq,LI,Défis cruciaux pour Ramsès.,400,39,"15,2449 €",La bataille de Kadesh
jacq,LI,Menaces mortelles sur un jeune pharaon.,384,38,"15,2449 €",Le temple de millions d'année
jekel,LI,Une flamboyante dynastie du Sud.,512,85,"14,6351 €",Sur les rives du Mississippi
jeury,LI,Défis féminins pour une institutrice.,384,73,"14,94 €",Les grandes filles
jeury,LI,Quand le adultes rivalisent sur le dos des enfants.,384,74,"14,94 €",L'année du certif
jouette,VP,Une lettre pour chaque circonstance.,424,238,"14,0253 €",Le savoir écrire
king,SU,Ces forces obscures qui hantent les nuits blanches.,720,116,"18,2939 €",Insomnie
koen,LI,Drames et passions d'une femme de caractère.,656,84,"15,5498 €",La nouvelle vie de Barbara Devane
koontz,SU,Dans la spirale d'effroyables terreurs.,312,114,"13,568 €",Les larmes du dragon
kostenevich,AR,Soixante-quinze chefs-d'œuvre impressionnistes enfin retrouvés en Russie.,292,188,"36,5878 €",Les trésors retrouvés
krentz,LI,Mystères autour d'une rencontre amoureuse.,336,103,"13,4155 €",Une ombre sur le miroir
krüger,VP,Tout ce qu'il faut savoir pour une maison verte et fleurie.,384,260,"23,782 €",Les 1000 plus belles plantes d'intérieur
labro,LI,Une éducation d'amour et d'ambition.,320,302,"14,94 €",Un début à Paris
labro,TE,En tête-à-tête avec la mort.,304,165,"16,0986 €",La traversée
lagadec,VP,Tout ce qu'il faut savoir pour défendre vos droits.,576,240,"15,2449 €",Le nouveau guide pratique du droit
lamaisona,HI,"Le faits, les hommes, les événements qui ont fait la parenté européenne.",352,171,"15,0925 €",Atlas de la civilisation occidentale
lentéric,LI,Les manœuvres d'un couple diabolique.,432,109,"15,2449 €",La fortune des Laufer
léonard,PS,Un guide pour décoder les symboles des rêves.,368,223,"16,7694 €",Comprendre et interpréter vos rêves
levron,HI,L'éclat d'une grande favorite.,320,177,"17,6841 €",Madame de Pompadour
loock,AD,Un guide pour une vie positive.,256,284,"13,1106 €",Les clés du tarot
loock,VP,Pour remédier à tous les petits inconvénients domestiques.,416,245,"11,891 €",Super dico-trucs
lovett,SU,Quand un malade mental mène le jeu.,320,121,"13,4155 €",Relations dangereurses
maalour,LI,La terrible confession d'un otage de l'histoire.,272,32,"15,2449 €",Les échelles du levant
